,duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
15,2.0,4.5,4.0,3.913333,0.0,37.0,2.0,7.444444,4.870968,1.0,11.0,1.0,0.0,2.0,0.0,2.0,b'good'
16,1.0,2.8,3.971739,3.913333,0.0,35.0,2.0,7.444444,2.0,1.0,12.0,0.0,0.0,1.0,0.0,2.0,b'good'
17,1.0,2.1,3.971739,3.913333,2.0,40.0,1.0,2.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,b'bad'
18,1.0,2.0,3.971739,3.913333,0.0,38.0,0.0,7.444444,4.870968,0.0,11.0,1.0,1.0,0.0,1.0,0.0,b'bad'
19,2.0,4.0,5.0,3.913333,1.0,35.0,2.0,13.0,5.0,1.0,15.0,2.0,0.0,1.0,0.0,2.0,b'good'
20,2.0,4.3,4.4,3.913333,0.0,38.0,2.0,7.444444,4.0,1.0,12.0,2.0,0.0,2.0,0.0,2.0,b'good'
21,2.0,2.5,3.0,3.913333,0.0,40.0,0.0,7.444444,4.870968,1.0,11.0,0.0,0.0,1.0,0.0,2.0,b'bad'
22,3.0,3.5,4.0,4.6,1.0,27.0,2.0,7.444444,4.870968,1.0,11.09434,0.0,0.0,1.0,0.0,2.0,b'good'
23,2.0,4.5,4.0,3.913333,0.0,40.0,2.0,7.444444,4.0,1.0,10.0,2.0,0.0,1.0,0.0,2.0,b'good'
24,1.0,6.0,3.971739,3.913333,0.0,38.0,2.0,8.0,3.0,1.0,9.0,2.0,0.0,1.0,0.0,2.0,b'good'
25,3.0,2.0,2.0,2.0,0.0,40.0,0.0,7.444444,4.870968,1.0,10.0,0.0,0.0,1.0,0.0,2.0,b'bad'
26,2.0,4.5,4.5,3.913333,1.0,38.039216,2.0,7.444444,4.870968,0.0,10.0,0.0,0.0,0.0,0.0,1.0,b'good'
27,2.0,3.0,3.0,3.913333,0.0,33.0,2.0,7.444444,4.870968,0.0,12.0,2.0,0.0,1.0,0.0,2.0,b'good'
28,2.0,5.0,4.0,3.913333,0.0,37.0,2.0,7.444444,5.0,1.0,11.0,0.0,0.0,2.0,0.0,2.0,b'good'
29,3.0,2.0,2.5,3.913333,0.0,35.0,0.0,7.444444,4.870968,1.0,10.0,1.0,0.0,1.0,0.0,2.0,b'bad'
30,3.0,4.5,4.5,5.0,0.0,40.0,2.0,7.444444,4.870968,1.0,11.0,1.0,0.0,1.0,0.0,2.0,b'good'
31,3.0,3.0,2.0,2.5,2.0,40.0,0.0,7.444444,5.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,b'bad'
32,2.0,2.5,2.5,3.913333,0.0,38.0,2.0,7.444444,4.870968,1.0,10.0,1.0,0.0,1.0,0.0,2.0,b'bad'
33,2.0,4.0,5.0,3.913333,0.0,40.0,0.0,7.444444,3.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,b'bad'
34,3.0,2.0,2.5,2.1,2.0,40.0,0.0,2.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,2.0,b'bad'
35,2.0,2.0,2.0,3.913333,0.0,40.0,0.0,7.444444,4.870968,1.0,11.0,1.0,0.0,0.0,0.0,2.0,b'bad'
36,1.0,2.0,3.971739,3.913333,2.0,40.0,1.0,4.0,0.0,1.0,11.0,2.0,1.0,0.0,1.0,0.0,b'bad'
37,1.0,2.8,3.971739,3.913333,0.0,38.0,2.0,2.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,b'bad'
38,3.0,2.0,2.5,2.0,0.0,37.0,2.0,7.444444,4.870968,1.0,10.0,1.0,0.0,1.0,0.0,0.0,b'bad'
39,2.0,4.5,4.0,3.913333,0.0,40.0,2.0,7.444444,4.0,1.0,12.0,1.0,0.0,2.0,0.0,1.0,b'good'
40,1.0,4.0,3.971739,3.913333,0.0,38.039216,0.0,7.444444,4.870968,0.0,11.0,1.0,1.0,0.0,1.0,0.0,b'bad'
41,2.0,2.0,3.0,3.913333,0.0,38.0,2.0,7.444444,4.870968,0.0,12.0,2.0,0.0,0.0,0.0,2.0,b'bad'
42,2.0,2.5,2.5,3.913333,2.0,39.0,2.0,7.444444,4.870968,1.0,12.0,1.0,0.0,1.0,0.0,2.0,b'bad'
43,2.0,2.5,3.0,3.913333,1.0,40.0,0.0,7.444444,4.870968,1.0,11.0,0.0,0.0,1.0,0.0,2.0,b'bad'
44,2.0,4.0,4.0,3.913333,0.0,40.0,0.0,7.444444,3.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,b'bad'
45,2.0,4.5,4.0,3.913333,0.0,40.0,2.0,7.444444,2.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,b'bad'
46,2.0,4.5,4.0,3.913333,0.0,40.0,2.0,7.444444,5.0,1.0,11.0,1.0,0.0,2.0,0.0,2.0,b'good'
47,2.0,4.6,4.6,3.913333,1.0,38.0,2.0,7.444444,4.870968,1.0,11.09434,0.0,0.0,1.0,0.0,1.0,b'good'
48,2.0,5.0,4.5,3.913333,0.0,38.0,2.0,14.0,5.0,1.0,11.0,0.0,0.0,1.0,0.0,2.0,b'good'
49,2.0,5.7,4.5,3.913333,0.0,40.0,1.0,7.444444,4.870968,1.0,11.0,1.0,0.0,2.0,0.0,2.0,b'good'
50,2.0,7.0,5.3,3.913333,0.0,38.039216,2.0,7.444444,4.870968,1.0,11.0,0.0,0.0,2.0,0.0,2.0,b'good'
51,3.0,2.0,3.0,3.913333,1.0,38.039216,2.0,7.444444,4.870968,0.0,11.09434,0.0,0.0,1.0,0.0,2.0,b'good'
52,3.0,3.5,4.0,4.5,1.0,35.0,2.0,7.444444,4.870968,1.0,13.0,2.0,0.0,1.0,0.0,2.0,b'good'
53,3.0,4.0,3.5,3.913333,0.0,40.0,2.0,7.444444,6.0,1.0,11.0,1.0,0.0,2.0,0.0,2.0,b'good'
54,3.0,5.0,4.4,3.913333,0.0,38.0,2.0,10.0,6.0,1.0,11.0,2.0,0.0,1.0,0.0,2.0,b'good'
55,3.0,5.0,5.0,5.0,0.0,40.0,2.0,7.444444,4.870968,1.0,12.0,1.0,0.0,1.0,0.0,1.0,b'good'
56,3.0,6.0,6.0,4.0,0.0,35.0,2.0,7.444444,14.0,1.0,9.0,2.0,0.0,2.0,0.0,2.0,b'good'
